data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,RS,0.1,0.020879120879120916,0.006616786482735787,0.03514145527550596,0.004114353222680266,0.9538461538461539,1.0,0.958,"[180, 1820]",180.0,1147.0,-0.9999731383382826,1.0,2.0,-0.017116395062389378,0.005449912769083483,0.0016855999660521455,-0.02779802780867796,-0.006434762316100795
cifar10h,RS,0.2,0.024968789013732784,0.008866731346104842,0.04107084668136084,0.0023718025403752212,0.9488139825218477,1.0,0.959,"[398, 1602]",398.0,1045.0,-0.99981930352169,1.0,2.0,-0.021877032842410604,0.006621572351267256,0.0009534881244834998,-0.03485507617192063,-0.00889898951290058
cifar10h,RS,0.3,0.032211882605583386,0.014038511636736788,0.05038525357442998,0.0005127779600590249,0.9448818897637795,1.0,0.9615,"[603, 1397]",603.0,917.0,-0.9993071280524418,1.0,2.0,-0.02858610697632924,0.007906047234758589,0.00029950610320662803,-0.04408167481652856,-0.01309053913612992
cifar10h,RS,0.4,0.040765391014975116,0.019929973348979012,0.06160080868097105,0.00012569010110224097,0.9392678868552413,1.0,0.9635,"[798, 1202]",798.0,746.0,-0.9980002720258199,1.0,2.0,-0.03770927914672628,0.010324331558725341,0.0002597330973388514,-0.05794459716627823,-0.017473961127174337
cifar10h,RS,0.5,0.05125725338491294,0.02738653948948924,0.07512796728033669,2.569538007557157e-05,0.9332688588007737,1.0,0.9655,"[966, 1034]",966.0,615.0,-0.9950615621637553,1.0,2.0,-0.051687311081310416,0.014388993613105956,0.00032797079972628895,-0.07988922033677495,-0.023485401825845877
cifar10h,RS,0.6,0.07985257985257976,0.05094235577140138,0.10876280393375831,6.177256055824195e-08,0.9299754299754299,1.0,0.9715,"[1186, 814]",1186.0,417.0,-0.9860452977474778,1.0,2.0,-0.04821598103010882,0.01751569317569459,0.005910054424397313,-0.08254610881872423,-0.013885853241493419
cifar10h,RS,0.7,0.12046204620462042,0.08378052397244021,0.15714356843680077,1.2224547741192688e-10,0.9240924092409241,0.9978479196556671,0.9755,"[1394, 606]",56.0,49.0,-0.9618011144921184,1.0,2.0,-0.05516815038512468,0.027941285010509666,0.04833271097011447,-0.10993206268749249,-0.000404238082756872
cifar10h,RS,0.8,0.18947368421052635,0.1356418521575609,0.2433055162634918,5.2535916807830275e-12,0.9,0.9925925925925926,0.975,"[1620, 380]",150.0,68.0,-0.8773920699954033,1.0,2.0,0.056674370363592796,0.0880340964241518,0.5197197271293856,-0.1158692880392711,0.2292180287664567
cifar10h,RS,0.9,0.28645833333333337,0.20615209107304028,0.36676457559362646,2.7227851635200623e-12,0.890625,0.9745575221238938,0.9665,"[1808, 192]",92.0,72.0,-0.6675316379871219,1.0,2.0,0.05924813075750035,0.16869972280131953,0.7254348056052773,-0.2713972501349765,0.3898935116499772
cifar10h,RS,1.0,0.0,0.0,0.0,0.0,0.0,0.939,0.939,,,,,,,,,,,
cifar10h,RS,0.0,0.018500000000000003,0.005480912572752935,0.03151908742724707,0.005351282312229316,0.9575,0.0,0.9575,,,,,,,,,,,
cifar10h,CC,0.1,0.027180067950169917,0.012929109990035397,0.04143102591030434,0.00018539300650355188,0.9580973952434881,1.0,0.963,"[234, 1766]",229.0,730.0,-0.07331295013427731,1.0,2.0,-0.01725958967314689,0.013145853845477945,0.18920643981737673,-0.04302498975631104,0.008505810410017255
cifar10h,CC,0.2,0.03498727735368956,0.019351250503539332,0.050623304203839786,1.1565140870507384e-05,0.9573791348600509,1.0,0.9665,"[428, 1572]",415.0,976.0,-0.05839759111404412,1.0,2.0,-0.04596944317391327,0.015797343152166913,0.003614891827888178,-0.07693166680358088,-0.015007219544245672
cifar10h,CC,0.3,0.0462762111352133,0.02919646418392707,0.06335595808649955,1.0940531189963893e-07,0.9587852494577006,0.9983792544570502,0.971,"[617, 1383]",253.0,306.0,-0.0470355212688446,1.0,2.0,-9.185705022307644e-05,0.009252185549941783,0.9920786156130147,-0.018225807506390884,0.01804209340594473
cifar10h,CC,0.4,0.05685618729096986,0.03771965967849992,0.0759927149034399,5.772685167461451e-09,0.9573578595317725,0.996268656716418,0.973,"[804, 1196]",415.0,507.0,-0.036750161647796556,1.0,2.0,-0.0008507162511948163,0.0270845289831759,0.9749428254750755,-0.053935417596450826,0.05223398509406119
