data,method,target_coverage,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,RS,0.1,"[180, 1820]",180.0,978.0,-0.9999731383382826,1.0,2.0,-0.27126208840705074,0.16247325114578445,0.0950024928787328,-0.5897038091039193,0.04717963228981786
cifar10h,RS,0.2,"[398, 1602]",398.0,809.0,-0.99981930352169,1.0,2.0,0.00999201074482392,0.12799508755146016,0.9377758868021503,-0.24087375105408904,0.2608577725437369
cifar10h,RS,0.3,"[603, 1397]",603.0,604.0,-0.9993071280524418,1.0,2.0,0.11598117638399497,0.11003165208422785,0.2918504003445782,-0.09967689886053321,0.33163925162852315
cifar10h,RS,0.4,"[798, 1202]",798.0,417.0,-0.9980002720258199,1.0,2.0,0.09795222525319802,0.11243786412712148,0.38366264301658004,-0.12242193893456821,0.31832638944096425
cifar10h,RS,0.5,"[966, 1034]",966.0,247.0,-0.9950615621637553,1.0,2.0,0.24512581970884295,0.11257698438716694,0.029450276198692567,0.024478984821867777,0.4657726545958181
cifar10h,RS,0.6,"[1186, 814]",232.0,101.0,-0.9860452977474778,1.0,2.0,0.3414737360616257,0.15691390568690458,0.029541407107087324,0.03392813224177793,0.6490193398814734
cifar10h,RS,0.7,"[1394, 606]",151.0,76.0,-0.9618011144921184,1.0,2.0,-0.043538390706895136,0.20339128896275957,0.8304985374925566,-0.4421779918430829,0.3551012104292926
cifar10h,RS,0.8,"[1620, 380]",121.0,60.0,-0.8773920699954033,1.0,2.0,-0.10618188319926691,0.19149196522343453,0.5792381759854064,-0.4814992383659951,0.2691354719674613
cifar10h,RS,0.9,"[1808, 192]",111.0,78.0,-0.6675316379871219,1.0,2.0,-0.13211815654990344,0.20385450961021134,0.5169201189579788,-0.531665653471992,0.26742934037218513
cifar10h,CC,0.1,"[234, 1766]",125.0,162.0,-0.07331295013427731,1.0,2.0,-0.04284342351032633,0.19696166086811331,0.8278018443391302,-0.42888118514702056,0.3431943381263679
