data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,RS,0.1,0.020879120879120916,0.006616786482735787,0.03514145527550596,0.004114353222680266,0.9434102755026061,1.0,0.958,"[657, 1343]",657.0,533.0,-0.9990517994928041,1.0,2.0,-0.0013740937815552856,0.036662149858255715,0.9701023648156001,-0.07323058709954673,0.07048239953643616
cifar10h,RS,0.2,0.024968789013732784,0.008866731346104842,0.04107084668136084,0.0023718025403752212,0.9392678868552413,1.0,0.959,"[798, 1202]",798.0,367.0,-0.9979999175411649,1.0,2.0,-0.029014277449828096,0.026059809121496157,0.26554843753157165,-0.08009056477194895,0.02206200987229276
cifar10h,RS,0.3,0.032211882605583386,0.014038511636736788,0.05038525357442998,0.0005127779600590249,0.9357541899441341,1.0,0.9615,"[926, 1074]",926.0,298.0,-0.9958664476689592,1.0,2.0,0.02198973594122111,0.03212077951718141,0.4935993091108344,-0.04096583506780632,0.08494530695024854
cifar10h,RS,0.4,0.040765391014975116,0.019929973348979012,0.06160080868097105,0.00012569010110224097,0.9308855291576674,1.0,0.9635,"[1074, 926]",1074.0,163.0,-0.99178892801865,1.0,2.0,0.0593490660640732,0.05897375360617496,0.314240475893099,-0.05623736703716886,0.17493549916531526
cifar10h,RS,0.5,0.05125725338491294,0.02738653948948924,0.07512796728033669,2.569538007557157e-05,0.9276485788113695,1.0,0.9655,"[1226, 774]",124.0,78.0,-0.9827141539717559,1.0,2.0,-0.10432186461150206,0.07169165309491757,0.14562868307062146,-0.24483492266968,0.03619119344667587
cifar10h,RS,0.6,0.07985257985257976,0.05094235577140138,0.10876280393375831,6.177256055824195e-08,0.9240924092409241,0.9978479196556671,0.9715,"[1394, 606]",65.0,51.0,-0.9617443773895502,1.0,2.0,-0.05092140571307824,0.06884836580527151,0.4595325650210239,-0.1858617230858494,0.08401891165969291
cifar10h,RS,0.7,0.12046204620462042,0.08378052397244021,0.15714356843680077,1.2224547741192688e-10,0.9107142857142857,0.9948453608247423,0.9755,"[1552, 448]",93.0,69.0,-0.9110268957447262,1.0,2.0,0.15415960363651204,0.08523311532796556,0.07050041707940422,-0.012894232696449293,0.3212134399694734
cifar10h,RS,0.8,0.18947368421052635,0.1356418521575609,0.2433055162634918,5.2535916807830275e-12,0.8959731543624161,0.9853113983548766,0.975,"[1702, 298]",77.0,70.0,-0.7965376635547727,1.0,2.0,0.2296251155890594,0.13269905867873422,0.08355524899409789,-0.030460260203626965,0.48971049138174577
cifar10h,RS,0.9,0.28645833333333337,0.20615209107304028,0.36676457559362646,2.7227851635200623e-12,0.8785714285714286,0.9655913978494624,0.9665,"[1860, 140]",89.0,75.0,-0.5896514148917049,1.0,2.0,-0.0089847380222281,0.1601359406061523,0.9552566132855153,-0.3228454142407318,0.3048759381962756
cifar10h,CC,0.1,0.027180067950169917,0.012929109990035397,0.04143102591030434,0.00018539300650355188,0.9576837416481069,0.998468606431853,0.963,"[653, 1347]",349.0,450.0,-0.044601634144783,1.0,2.0,0.013046752901658687,0.03356426386105396,0.6974909508740867,-0.05273799543360637,0.07883150123692374
