data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,RS,0.1,0.020879120879120916,0.006616786482735787,0.03514145527550596,0.004114353222680266,0.9545454545454546,1.0,0.958,"[130, 1870]",130.0,1140.0,-0.9999861470916898,1.0,2.0,-0.013081384015671826,0.005162391364097369,0.011277594449534823,-0.02319948516340327,-0.002963282867940382
cifar10h,RS,0.2,0.024968789013732784,0.008866731346104842,0.04107084668136084,0.0023718025403752212,0.9514051522248244,1.0,0.959,"[292, 1708]",292.0,1237.0,-0.9999186064598007,1.0,2.0,-0.023170812248302752,0.005311173863622947,1.2849425873835297e-05,-0.03358052173663418,-0.012761102759971327
cifar10h,RS,0.3,0.032211882605583386,0.014038511636736788,0.05038525357442998,0.0005127779600590249,0.9476439790575916,1.0,0.9615,"[472, 1528]",472.0,898.0,-0.9997008824755439,1.0,2.0,-0.013480780843857398,0.006245213301067947,0.030882911030364918,-0.025721173989721076,-0.001240387697993721
cifar10h,RS,0.4,0.040765391014975116,0.019929973348979012,0.06160080868097105,0.00012569010110224097,0.9449213161659513,1.0,0.9635,"[602, 1398]",602.0,939.0,-0.9993131613271089,1.0,2.0,-0.022185442358584884,0.006277773039102771,0.0004093722845962158,-0.03448965141834288,-0.009881233298826892
cifar10h,RS,0.5,0.05125725338491294,0.02738653948948924,0.07512796728033669,2.569538007557157e-05,0.9413183279742765,1.0,0.9655,"[756, 1244]",756.0,725.0,-0.998417238246475,1.0,2.0,-0.015609158754875452,0.007079597391233582,0.02746751302356939,-0.029484914666736993,-0.0017334028430139089
cifar10h,RS,0.6,0.07985257985257976,0.05094235577140138,0.10876280393375831,6.177256055824195e-08,0.9372197309417041,1.0,0.9715,"[885, 1115]",885.0,529.0,-0.9967397964419433,1.0,2.0,0.010667984591821389,0.0037381117989422727,0.004319385720829565,0.003341420095710303,0.017994549087932476
cifar10h,RS,0.7,0.12046204620462042,0.08378052397244021,0.15714356843680077,1.2224547741192688e-10,0.9306122448979591,1.0,0.9755,"[1020, 980]",1020.0,366.0,-0.9934985852124072,1.0,2.0,0.00479567849459972,0.0028962856367623735,0.09776171668002158,-0.000880937042395189,0.01047229403159463
cifar10h,RS,0.8,0.18947368421052635,0.1356418521575609,0.2433055162634918,5.2535916807830275e-12,0.9300613496932515,1.0,0.975,"[1185, 815]",1185.0,333.0,-0.9860587132279761,1.0,2.0,-0.0026849172544070044,0.004386474530181099,0.5404782044368883,-0.011282249352664213,0.0059124148438502045
cifar10h,RS,0.9,0.28645833333333337,0.20615209107304028,0.36676457559362646,2.7227851635200623e-12,0.9236641221374046,0.9992565055762082,0.9665,"[1345, 655]",52.0,36.0,-0.9702744341720974,1.0,2.0,0.18286235426611674,0.16681097638220527,0.27298034344290945,-0.14408115166896712,0.5098058602012006
cifar10h,CC,0.1,0.027180067950169917,0.012929109990035397,0.04143102591030434,0.00018539300650355188,0.9575523704520397,1.0,0.963,"[186, 1814]",176.0,411.0,-0.07868008315563195,1.0,2.0,0.007900432544637237,0.006973469525153046,0.25724487213608005,-0.005767316571950367,0.02156818166122484
cifar10h,CC,0.2,0.03498727735368956,0.019351250503539332,0.050623304203839786,1.1565140870507384e-05,0.9564698867024448,1.0,0.9665,"[323, 1677]",288.0,629.0,-0.0656257420778274,1.0,2.0,-0.0006439602546655099,0.005909122564758953,0.9132204907417458,-0.012225627661826012,0.010937707152494992
cifar10h,CC,0.3,0.0462762111352133,0.02919646418392707,0.06335595808649955,1.0940531189963893e-07,0.9566343042071197,1.0,0.971,"[455, 1545]",445.0,1080.0,-0.05580653250217437,1.0,2.0,-0.012791351950543595,0.008458902285199618,0.13048900676025937,-0.029370495778278407,0.0037877918771912177
cifar10h,CC,0.4,0.05685618729096986,0.03771965967849992,0.0759927149034399,5.772685167461451e-09,0.9587852494577006,0.9983792544570502,0.973,"[617, 1383]",205.0,223.0,-0.047040536999702454,1.0,2.0,0.00638424481167954,0.006925060119204844,0.35657833708414133,-0.007188623612736608,0.01995711323609569
cifar10h,CC,0.5,0.07324516785350965,0.05060027201951492,0.09589006368750436,2.3047410269302483e-10,0.9568345323741008,0.9986648865153538,0.975,"[749, 1251]",395.0,494.0,-0.039428174495696994,1.0,2.0,-0.01694695940276003,0.01719313326920318,0.324289258851457,-0.05064488139179566,0.0167509625862756
cifar10h,CC,0.6,0.09517766497461932,0.06768562729217037,0.12266970265706828,1.1575589344094584e-11,0.9550870760769936,0.9966996699669967,0.9765,"[909, 1091]",457.0,510.0,-0.032076507806777926,1.0,2.0,0.001547499066629321,0.009799872380011404,0.8745276200465003,-0.01765989785128185,0.020754895984540493
cifar10h,CC,0.7,0.12685337726523882,0.09183475214956763,0.16187200238091018,1.2486488196684163e-12,0.9527806925498427,0.9961795606494747,0.9775,"[1047, 953]",411.0,469.0,-0.024681210517883252,1.0,2.0,-0.015477624764435483,0.017764572682945633,0.38361026457890834,-0.05029554742375301,0.019340297894882043
cifar10h,CC,0.8,0.19999999999999996,0.1475495974432829,0.25245040255671714,7.803610459343852e-14,0.9479695431472082,0.995049504950495,0.9775,"[1212, 788]",618.0,386.0,-0.0166736543178558,1.0,2.0,0.016423119715576195,0.011793447080920281,0.163751935422908,-0.006691611816606588,0.03953785124775898
cifar10h,CC,0.9,0.27717391304347827,0.19641021387447827,0.3579376122124785,1.7388336334782347e-11,0.9371165644171779,0.9955489614243324,0.9645,"[1348, 652]",305.0,224.0,-0.011127799749374324,1.0,2.0,0.0021047475305944197,0.0060508512882877525,0.727957937325501,-0.009754703070257362,0.013964198131446202
cifar10h,DT,0.1,0.037577117218171585,0.022965744822311736,0.05218848961403152,4.6412224015271287e-07,0.9604550379198267,0.7792207792207793,0.9425,"[154, 1846]",93.0,155.0,0.893216775,1.0,2.0,-0.136143442116071,0.1583402604643323,0.3898906426509873,-0.4464846499288537,0.17419776569671175
cifar10h,DT,0.2,0.03474903474903468,0.02057561228891585,0.048922457209153634,1.5455725657646016e-06,0.9663056558363418,0.8165680473372781,0.936,"[338, 1662]",194.0,337.0,0.913090425,1.0,2.0,-0.09487792989807153,0.08919225504321528,0.2874436509670065,-0.2696915374826845,0.07993567768654142
cifar10h,DT,0.3,0.015897047691143085,0.002727582434740335,0.029066512947545822,0.017986290510815666,0.9725201072386059,0.8188976377952756,0.9195,"[508, 1492]",259.0,330.0,0.9251982000000001,1.0,2.0,-0.049245104927633676,0.07268343686293405,0.49807065039548815,-0.19170202345157533,0.09321181359630798
cifar10h,DT,0.4,0.00702987697715296,-0.0051523937914192295,0.01921214774572503,0.2580496515464378,0.972809667673716,0.8150887573964497,0.913,"[676, 1324]",366.0,414.0,0.9348174850000001,1.0,2.0,0.0996472743768082,0.0700177065103492,0.15468615564039329,-0.03758490866357192,0.23687945741718833
cifar10h,DT,0.5,-0.00421940928270037,-0.015167696893684947,0.006728878328284102,0.45003346161024105,0.9753610875106202,0.8250303766707169,0.907,"[823, 1177]",281.0,343.0,0.94498697,1.0,2.0,-0.005470918798469837,0.07070302319537794,0.9383221636479652,-0.14404629785951065,0.13310446026257097
