data,method,target_coverage,CATE_Male,CATE_Female,CATE_ci_low_Male,CATE_ci_low_Female,CATE_ci_high_Male,CATE_ci_high_Female,pv_rob_Male,pv_rob_Female,acc_hum,count_female,count_males,acc_system
xray-airspace,RS,0.0,0.06249999999999999,0.012345679012345685,0.018644708382785764,-0.03436327039609668,0.10635529161721421,0.05905462842078805,0.005218518799540845,0.6044306289768675,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,RS,0.1,0.07196029776674936,0.04375,0.023523928610021082,-0.010898178622701218,0.12039666692347764,0.09839817862270121,0.003592915573813517,0.1166247794284933,0.8644536652835408,320,403,0.8827667057444314
xray-airspace,RS,0.2,0.09537572254335258,0.06093189964157705,0.04280490795056495,0.0012423920218385467,0.1479465371361402,0.12062140726131557,0.00037678490016848176,0.04541835111721354,0.864,279,346,0.8909730363423212
xray-airspace,RS,0.3,0.10032362459546926,0.0785123966942149,0.04496676779588497,0.018061718630110475,0.15568048139505355,0.13896307475831934,0.0003822325659996758,0.010909929448686443,0.8711433756805808,242,309,0.8909730363423212
xray-airspace,RS,0.4,0.13703703703703704,0.10576923076923078,0.0807231382855923,0.04481231122277126,0.19335093578848178,0.1667261503156903,1.8470788596571793e-06,0.0006718255150745929,0.9037656903765691,208,270,0.9015240328253223
xray-airspace,RS,0.5,0.15000000000000002,0.1265060240963856,0.09071751409380643,0.05514178135612732,0.2092824859061936,0.19787026683664385,7.077857394369572e-07,0.0005120151867495626,0.917098445595855,166,220,0.895662368112544
xray-airspace,RS,0.6,0.15517241379310345,0.1395348837209302,0.0866043553766835,0.05961203455126847,0.22374047220952342,0.21945773289059195,9.186679690481303e-06,0.0006219849043441041,0.9207920792079208,129,174,0.8851113716295428
xray-airspace,RS,0.7,0.17968749999999994,0.10638297872340428,0.09995885720008073,0.015238270584338506,0.25941614279991915,0.19752768686247008,9.996643600475457e-06,0.02215815764224342,0.9144144144144144,94,128,0.8710433763188745
xray-airspace,RS,0.8,0.261904761904762,0.14492753623188406,0.1672606525111218,0.043631921896080936,0.3565488712984022,0.24622315056768718,5.836869897592866e-08,0.005044223872614073,0.9411764705882353,69,84,0.8698710433763188
xray-airspace,RS,0.9,0.2608695652173913,0.07894736842105264,0.13243730017330718,-0.007828718559944312,0.3893018302614754,0.16572345540204958,6.86122244406921e-05,0.07456335327984577,0.9404761904761905,38,46,0.8499413833528722
