rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1
0.87828445,1,0,1,0.18489411,0.81510586
0.8497779,1,1,1,0.16817333,0.8318267
0.8616595,1,1,1,0.153055,0.84694505
0.87243736,1,1,1,0.12192024,0.8780797
0.89492404,1,1,1,0.23892914,0.76107085
0.8291434,1,1,1,0.25748146,0.74251854
0.8516144,1,1,1,0.44823048,0.55176955
0.84841955,1,1,1,0.42794,0.57206
0.9708298,0,0,0,0.5574525,0.44254747
0.87832546,0,0,1,0.42817208,0.5718279
0.84076285,0,0,1,0.4213622,0.57863784
0.9753768,0,0,0,0.5556503,0.44434974
0.9117379,0,0,1,0.46112773,0.5388723
0.98074603,0,0,0,0.5599786,0.44002146
0.925245,1,1,0,0.51855236,0.4814476
0.96931374,0,0,0,0.5401479,0.45985213
0.9692666,0,0,0,0.53843427,0.46156576
0.9789699,0,0,0,0.55782723,0.44217274
0.9729066,0,0,0,0.5511244,0.4488756
0.94469327,0,0,1,0.49922922,0.50077075
0.99025613,0,0,0,0.5829431,0.4170569
0.8639228,0,0,1,0.44494733,0.55505264
0.849306,1,1,1,0.14520834,0.85479164
0.983146,0,0,0,0.5626737,0.43732634
0.93147916,0,0,0,0.511551,0.48844895
0.8638274,0,0,1,0.4562036,0.54379636
0.9988701,0,0,0,0.6813176,0.31868237
0.99534976,0,0,0,0.63470334,0.36529666
0.966495,0,0,0,0.55931085,0.44068918
0.87851006,0,0,1,0.47882178,0.52117825
0.86558247,0,0,1,0.4791278,0.5208722
0.9606784,0,0,0,0.5191433,0.48085675
0.872772,0,0,1,0.42551017,0.57448983
0.98505616,0,0,0,0.5774659,0.4225341
0.8614484,1,1,1,0.36689034,0.6331096
0.8266707,1,1,1,0.28509656,0.7149034
0.8396087,1,1,1,0.3236117,0.67638826
0.81975776,1,1,1,0.3185759,0.68142414
0.9455684,0,0,0,0.53130966,0.4686903
0.91741604,0,0,1,0.47166646,0.5283336
0.85153884,0,0,1,0.4413167,0.5586833
0.85566413,1,0,1,0.23550272,0.7644972
0.8743132,1,0,1,0.47113746,0.52886254
0.8394935,1,0,1,0.40001595,0.59998405
0.8292954,0,0,1,0.33967492,0.6603251
0.84025764,1,1,1,0.18083586,0.81916416
0.82488835,0,0,1,0.28290364,0.7170963
0.81077725,0,0,1,0.30098864,0.6990113
0.8183632,0,0,1,0.24934152,0.7506585
0.8698923,1,0,1,0.18334539,0.8166547
0.8598376,1,1,1,0.21247472,0.78752536
0.88677204,1,1,1,0.427211,0.572789
0.86725974,1,1,1,0.3794318,0.62056816
0.9973742,0,0,0,0.65629804,0.34370196
0.9742688,0,0,0,0.54289645,0.45710358
0.9952425,0,0,0,0.6308728,0.36912718
0.9566299,0,0,0,0.548326,0.45167398
0.9340472,0,0,0,0.50312203,0.49687797
0.87885165,0,0,1,0.43533754,0.56466246
0.8868583,1,1,1,0.09977033,0.90022963
0.80256647,1,1,1,0.37788877,0.6221112
0.9281748,0,0,1,0.48015013,0.51984984
0.84360844,0,0,1,0.27572793,0.7242721
0.84263945,0,1,1,0.35403803,0.64596194
0.86934185,0,0,1,0.4731842,0.5268158
0.8555744,0,0,1,0.4471188,0.55288124
0.97624934,0,0,0,0.5568085,0.4431915
0.96705073,0,0,0,0.54016966,0.45983037
0.8511716,1,1,1,0.20021728,0.79978275
0.8333846,0,1,1,0.28747815,0.71252185
0.8428042,1,1,1,0.26668382,0.7333162
0.81373453,1,1,1,0.40307298,0.596927
0.8801892,1,1,1,0.1390136,0.8609864
0.83219767,0,1,1,0.26335126,0.73664874
0.9448269,0,0,0,0.520028,0.479972
0.8753631,0,0,1,0.48379865,0.5162014
0.8775022,1,1,1,0.46345523,0.53654474
0.8955489,0,0,1,0.47885427,0.52114576
0.8714281,1,1,1,0.29937676,0.7006232
0.83217955,1,1,1,0.35686716,0.64313287
0.82055086,0,0,1,0.39618865,0.6038113
0.8687908,0,0,1,0.46195775,0.53804225
0.91787183,0,0,1,0.47785044,0.5221496
0.8202725,1,1,1,0.21919061,0.78080934
0.81808335,1,1,1,0.23944898,0.76055104
0.8632282,1,1,1,0.12379728,0.8762027
0.8626443,1,1,1,0.13945648,0.86054355
0.8686578,1,1,1,0.14870887,0.8512911
0.82864445,1,1,1,0.25357878,0.7464212
0.856172,1,1,1,0.16617289,0.8338271
0.8444636,1,1,1,0.17501561,0.8249844
0.88239926,1,1,1,0.13368727,0.8663127
0.90433306,1,1,1,0.10047062,0.8995294
0.86284655,1,1,1,0.14144476,0.85855526
0.8339058,0,1,1,0.2661851,0.7338149
0.82444155,0,1,1,0.2886456,0.7113544
0.8318273,0,0,1,0.2741227,0.72587734
0.8384541,0,0,1,0.22868781,0.77131224
0.8083772,0,0,1,0.31273285,0.6872671
0.81109774,1,1,1,0.29933587,0.7006641
0.80907494,1,1,1,0.23691596,0.76308405
0.8988551,1,0,1,0.45551836,0.5444817
0.98616785,1,1,0,0.5828379,0.41716212
0.92020476,0,0,1,0.47931182,0.52068824
0.94882196,1,1,0,0.5092695,0.49073055
0.91872424,0,0,1,0.4795694,0.5204306
0.96686584,0,0,0,0.5455801,0.45441994
0.8977732,0,0,1,0.47640634,0.52359366
0.8498189,0,0,1,0.4136401,0.5863599
0.9560822,0,0,0,0.5386423,0.46135768
0.9515291,0,0,0,0.5188725,0.48112747
0.8904309,0,0,1,0.45309153,0.5469085
0.9227518,0,0,1,0.48151794,0.5184821
0.8232624,0,0,1,0.35187355,0.6481264
0.89913714,0,0,1,0.46649414,0.53350586
0.86045414,0,0,1,0.44468227,0.55531776
0.8295619,0,0,1,0.38088933,0.6191107
0.85257757,0,0,1,0.21719411,0.78280586
0.8416193,0,0,1,0.31472138,0.6852786
0.82726926,1,1,1,0.22998142,0.7700185
0.8748174,1,1,1,0.13636826,0.8636317
0.83028543,1,1,1,0.22657281,0.7734272
0.8458952,1,1,1,0.1879335,0.8120665
0.8602262,1,0,1,0.40435258,0.5956474
0.84765846,1,1,1,0.22281109,0.7771889
0.8343078,1,0,1,0.2494974,0.75050265
0.8240118,0,0,1,0.38356525,0.61643475
0.8551122,1,1,1,0.30951816,0.6904818
0.9906391,0,0,0,0.5941641,0.40583593
0.9769936,0,0,0,0.54798913,0.4520109
0.9860729,0,0,0,0.5694086,0.43059143
0.8612013,1,1,1,0.17067762,0.82932234
0.9098626,1,1,1,0.47426245,0.5257376
0.9547103,0,0,0,0.5479183,0.45208165
0.87259424,1,1,1,0.41722414,0.58277583
0.8695174,1,1,1,0.19949979,0.8005002
0.9809856,0,0,0,0.5659071,0.43409285
0.90777284,0,0,1,0.48104587,0.5189541
0.9381304,1,1,0,0.5036694,0.49633062
0.927498,0,0,0,0.50047666,0.49952334
0.9736796,0,0,0,0.5552291,0.44477087
0.9861972,0,0,0,0.5843301,0.41566992
0.97765917,0,0,0,0.5732594,0.4267406
0.94942033,0,0,0,0.52270865,0.47729135
0.99173486,0,0,0,0.6058897,0.39411035
0.92961264,0,0,0,0.5212385,0.47876146
0.9592654,0,0,0,0.5239171,0.47608295
0.9470657,0,0,0,0.52214336,0.4778566
0.9482158,0,0,0,0.53510207,0.4648979
0.91982955,0,0,1,0.48848203,0.51151794
0.88107884,0,0,1,0.46675262,0.53324735
0.83891183,0,0,1,0.41037637,0.58962363
0.84120196,0,0,1,0.39096758,0.60903245
0.84077746,0,0,1,0.4261284,0.5738716
0.89235127,0,0,1,0.47077525,0.52922475
0.92232263,0,0,1,0.48013443,0.5198656
0.8900481,0,0,1,0.45925513,0.54074484
0.98158574,0,0,0,0.5640905,0.43590954
0.9690907,0,0,0,0.5493594,0.4506406
0.9375757,0,0,0,0.51259196,0.48740804
0.97696835,0,0,0,0.5604048,0.43959528
0.9981908,0,0,0,0.6596336,0.34036636
0.8622542,0,0,1,0.40071058,0.5992894
0.9125873,0,0,1,0.47881562,0.5211844
0.85447216,1,1,1,0.14630064,0.8536994
0.84923804,0,0,1,0.36177713,0.63822293
0.8605758,0,0,1,0.3024973,0.6975027
0.8695315,1,1,1,0.32414275,0.67585725
0.9074684,0,1,1,0.4714793,0.5285207
0.92063206,0,0,1,0.49325597,0.506744
0.9755756,0,0,0,0.5576809,0.44231907
0.85925716,1,1,1,0.17439523,0.8256048
0.9664647,0,0,0,0.5340625,0.4659375
0.9015835,0,0,1,0.4674152,0.5325848
0.87073356,1,0,1,0.13050853,0.8694914
0.87510395,1,0,1,0.13961296,0.8603871
0.8702078,0,0,1,0.2013239,0.79867613
0.8891087,1,1,1,0.13477969,0.86522025
0.88956785,1,0,1,0.09692651,0.9030735
0.8810892,1,1,1,0.12444692,0.875553
0.9943773,0,0,0,0.61057353,0.38942647
0.9957675,0,0,0,0.62413824,0.37586173
0.9961473,0,0,0,0.62648314,0.37351686
0.9841511,0,0,0,0.57525355,0.42474645
0.99497026,0,0,0,0.6217007,0.3782993
0.9872364,0,0,0,0.5799314,0.42006865
0.96937716,0,0,0,0.539107,0.460893
0.99620795,0,0,0,0.62684804,0.37315193
0.9493942,0,0,0,0.52343,0.47657007
0.97781485,0,0,0,0.55608934,0.44391066
0.9444175,0,0,0,0.521152,0.47884795
0.81985885,0,0,1,0.3469023,0.6530977
0.8372965,1,1,1,0.4233996,0.57660043
0.84277606,1,0,1,0.381436,0.61856407
0.8618538,0,0,1,0.42709348,0.57290655
0.8160478,0,0,1,0.4024718,0.59752816
0.9710745,0,0,0,0.56352377,0.43647623
0.9444227,0,0,0,0.5158634,0.4841366
0.8662436,0,0,1,0.38903487,0.6109652
0.9033585,0,0,1,0.45340744,0.5465926
0.87209964,1,1,1,0.17267296,0.827327
0.95451456,0,0,0,0.5105416,0.48945835
0.96192575,0,0,0,0.5207588,0.47924122
0.93154395,0,0,1,0.49053937,0.5094606
0.91865075,0,0,1,0.47175348,0.5282465
0.96334743,0,0,0,0.5277984,0.4722016
0.8837598,0,0,1,0.43588367,0.56411636
0.9517327,0,0,0,0.5061824,0.49381763
0.81476307,1,1,1,0.29507872,0.70492125
0.83949435,0,1,1,0.27846056,0.7215395
0.844801,1,1,1,0.17652395,0.823476
0.84068763,1,1,1,0.15417683,0.84582317
0.8314709,1,1,1,0.21918719,0.78081286
0.83494407,1,1,1,0.17976287,0.82023716
0.8379321,1,1,1,0.23646685,0.7635331
0.8422439,1,1,1,0.22013626,0.7798637
0.8744454,1,1,1,0.1753449,0.8246551
0.87307495,1,1,1,0.13038106,0.86961895
0.85031945,1,1,1,0.24346098,0.75653905
0.982768,0,0,0,0.556631,0.44336897
0.985973,0,0,0,0.6014785,0.39852145
0.82648444,1,1,1,0.36628845,0.6337115
0.81310534,1,1,1,0.2851795,0.7148205
0.8131962,0,0,1,0.42074624,0.57925373
0.8653855,1,1,1,0.12875283,0.8712472
0.85905474,0,0,1,0.44315246,0.5568476
0.99380153,1,0,0,0.615921,0.38407892
0.99185735,1,1,0,0.5949915,0.4050085
0.98704207,1,1,0,0.5801475,0.41985247
0.8699092,0,0,1,0.45402128,0.5459787
0.8794609,1,1,1,0.11206517,0.8879348
