rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1,class_probs_2,class_probs_3,class_probs_4,class_probs_5,class_probs_6,class_probs_7,class_probs_8,class_probs_9
0.96413857,4,4,4,4.8309623e-09,2.7466194e-06,0.001986289,5.096371e-05,0.9913476,6.9923203e-06,2.7516162e-10,0.006605074,4.0132687e-08,2.5898578e-07
0.9552994,7,7,7,3.8631083e-06,4.1285334e-06,0.004149298,0.001794568,0.010013044,0.0001903843,9.461516e-08,0.98380417,2.6117118e-06,3.7793478e-05
0.93794745,2,2,6,0.00012130554,0.00042955822,0.004775467,0.007097407,0.00060171785,0.0001945782,0.985926,3.8723483e-06,0.00084632076,3.7569296e-06
0.941168,5,5,5,2.575731e-05,5.281101e-07,0.003155635,0.0019806048,0.00014082695,0.99344444,0.0012477321,8.8244815e-07,8.083367e-08,3.4759273e-06
0.96711403,9,9,9,3.2287976e-06,0.04037372,1.7045539e-10,0.00019472023,3.922561e-07,8.789292e-07,4.5889269e-07,6.461109e-08,4.2159303e-05,0.95938444
0.9077181,1,1,3,0.049708188,0.23906873,0.0064238957,0.42078888,0.0031673743,0.0051927846,0.0024662158,0.003982921,0.0006580989,0.26854292
0.9074278,3,5,3,0.0011929111,3.202644e-05,0.006827436,0.81680447,0.023495834,0.14546897,0.00090098137,0.0029679905,0.0018455538,0.0004638624
0.9181113,4,4,4,0.004074334,0.0028445688,0.013402091,0.011085762,0.9623833,0.0038007277,5.9639984e-05,0.0008361721,0.0013508976,0.00016250992
0.9655997,0,0,0,0.998393,0.00035303022,1.0934443e-05,8.311138e-05,1.9322528e-05,6.363401e-05,0.00020057627,2.2168459e-05,0.0006763948,0.00017791522
0.97910917,2,2,2,5.928783e-05,1.7253998e-06,0.9987326,0.00057442323,0.00024479767,5.7427093e-05,2.3602006e-06,0.00026425027,6.3060914e-05,1.2859004e-08
0.9948678,9,9,9,2.8718464e-06,0.110170946,1.6866128e-09,0.0005048459,1.3044512e-07,2.8217237e-05,4.7557955e-06,3.5259875e-09,7.767275e-05,0.88921046
0.9851134,9,9,9,0.0015763063,0.06553703,1.8610335e-05,0.070797086,8.3410654e-05,0.0125070615,1.2133581e-05,1.6290827e-05,0.0009470822,0.848505
0.98447025,5,5,5,5.155086e-05,8.055343e-09,9.1726497e-07,6.964262e-05,2.6112506e-08,0.9997466,2.7884348e-06,5.9510404e-07,2.520407e-10,0.00012791636
0.9644483,0,0,0,0.98658645,0.00034672892,0.0003858888,0.0015939379,5.6275676e-05,6.554487e-05,0.005391466,0.00021786432,0.005288825,6.709551e-05
0.93368304,9,9,9,0.00035562573,0.0154859405,4.319198e-08,0.0004474337,8.103198e-07,0.00013606212,1.2000604e-06,1.8454854e-06,0.00012746455,0.9834436
0.90184504,6,6,6,0.002814569,0.021583714,0.0068274415,0.08883776,0.0031961342,0.0182528,0.81798923,4.7594087e-05,0.03706239,0.0033884845
0.99704844,1,1,1,6.116328e-07,0.99990654,6.70591e-06,4.7301967e-07,8.452305e-08,3.531227e-13,2.3081746e-10,4.621241e-06,2.1807471e-10,8.092856e-05
