rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1
0.9999914,1,1,1,1.5730031e-05,0.99998426
1.0,1,1,1,8.39004e-10,1.0
0.005902954,0,1,0,0.9998896,0.00011041623
0.9982247,1,1,1,0.00081664044,0.99918336
0.9999999,1,1,1,2.8436733e-09,1.0
1.0,0,0,0,0.9999552,4.484059e-05
0.9997491,0,0,0,1.0,5.5777822e-09
0.99986446,1,1,1,0.008137445,0.99186254
0.9999678,1,1,1,3.586169e-11,1.0
1.0,1,1,1,1.1547775e-05,0.99998844
1.0,0,0,0,1.0,8.313585e-12
1.0,0,1,0,0.99999845,1.5045848e-06
0.12900352,0,0,0,0.9999994,6.416232e-07
0.9979836,1,0,1,0.0042436966,0.9957563
1.0,1,1,0,0.9301474,0.06985263
1.0,1,0,1,4.8017746e-14,1.0
0.10112022,1,1,1,5.9332297e-07,0.9999994
0.033383843,0,0,0,1.0,2.8565322e-11
0.99874336,1,1,1,9.211687e-10,1.0
0.999997,0,0,0,0.99999976,1.8718342e-07
0.84829134,1,1,0,1.0,4.896108e-10
0.99643123,0,1,1,0.3221631,0.6778369
0.9999988,0,0,0,0.87326163,0.1267384
0.9131893,1,0,1,1.0041783e-07,0.9999999
0.9999999,1,0,0,0.9861935,0.0138065405
0.09747816,1,1,1,0.31792623,0.6820737
0.999998,1,1,1,3.2381772e-07,0.99999964
0.99996746,1,1,1,0.0008527268,0.9991473
0.99999833,0,0,0,0.9999999,1.771854e-07
1.0,1,1,1,7.9194217e-07,0.99999917
0.23821667,1,0,1,0.00023327305,0.99976677
1.0,1,1,1,0.006716032,0.993284
0.99564964,0,1,0,0.9925097,0.0074902773
0.99034894,1,1,1,0.0007325609,0.9992674
0.99999976,1,0,1,0.006215458,0.99378455
0.9999839,0,1,0,1.0,1.6616842e-11
0.9881214,1,1,1,0.0033411756,0.9966588
0.9999987,1,0,0,0.8410418,0.15895817
0.40616044,1,1,1,3.725e-12,1.0
0.9998889,1,1,1,7.8049925e-06,0.99999225
0.96310854,0,0,0,1.0,2.9823002e-12
0.9856274,1,0,0,0.99689734,0.003102697
0.99997675,1,1,1,0.00081541843,0.99918455
0.9073023,1,0,1,3.529185e-14,1.0
0.9999925,1,1,1,5.9862858e-05,0.99994016
1.0,0,1,1,0.12553273,0.87446725
0.99999917,1,1,1,5.4591625e-09,1.0
0.99769455,1,0,0,0.9999987,1.369734e-06
0.9999846,1,0,0,0.9999734,2.6615688e-05
0.9939732,0,0,1,0.041647725,0.95835227
0.9999689,1,1,1,2.8909775e-10,1.0
1.0,0,0,0,0.6709639,0.32903612
1.0,1,1,1,8.235561e-11,1.0
0.99997187,1,1,1,1.993407e-09,1.0
0.9996031,0,0,0,0.99999666,3.301602e-06
0.25902113,1,1,1,0.00059304136,0.99940693
0.9999994,0,0,0,0.9999999,9.280084e-08
0.96915543,0,0,0,0.9999883,1.1656006e-05
0.9943036,0,0,0,0.99999976,1.86032e-07
0.99209607,0,1,1,0.11354204,0.8864579
0.98558635,0,0,0,1.0,6.62378e-09
1.0,1,1,1,2.3920074e-12,1.0
0.52524686,0,1,0,1.0,7.2112466e-10
0.9999999,1,1,1,4.019012e-13,1.0
0.99987054,0,1,1,1.5682966e-05,0.99998426
0.19761692,0,1,0,1.0,3.6540866e-09
0.9912884,0,0,0,1.0,9.734682e-09
0.9999999,1,1,1,2.1011974e-05,0.999979
1.0,1,1,1,1.4381098e-10,1.0
0.9949882,0,0,0,1.0,4.840158e-09
0.99997497,0,1,0,1.0,4.5652637e-08
0.8507148,0,0,1,0.015394897,0.9846051
0.7412777,1,1,1,4.3299656e-10,1.0
1.0,1,1,1,1.307416e-12,1.0
0.9996995,1,1,1,8.8157426e-10,1.0
0.9999889,1,1,0,0.9367409,0.06325912
0.00017342504,0,0,0,0.9998745,0.00012548102
0.019094637,0,1,0,0.9650656,0.03493443
0.8316579,1,0,0,0.99999607,3.8991493e-06
0.99961495,0,0,1,4.2315504e-10,1.0
0.99999976,1,1,1,3.0753488e-06,0.9999969
0.99995065,0,0,0,1.0,1.8922698e-12
1.0,1,1,1,1.1562629e-11,1.0
0.9981779,1,0,1,0.1604814,0.83951867
0.9775238,1,1,1,3.2483783e-07,0.99999964
1.0,1,0,1,1.2969628e-07,0.9999999
1.0,0,0,1,0.000212454,0.9997875
0.99921715,0,1,0,0.9999813,1.8700852e-05
1.0,1,1,1,6.07552e-08,0.9999999
0.9999374,1,0,1,0.000291658,0.99970835
0.051212806,0,0,0,1.0,1.2850626e-10
0.99619377,0,0,0,1.0,5.1516956e-08
1.0,1,0,1,3.0042202e-14,1.0
0.08622582,0,0,1,2.4716455e-08,1.0
0.9999881,1,0,0,0.99673885,0.003261118
0.26619506,1,1,0,0.9967253,0.003274677
0.9999846,1,1,1,1.9335932e-11,1.0
1.0,1,0,1,9.746911e-08,0.9999999
0.9990369,0,0,0,0.9997583,0.00024171328
0.9880185,0,0,0,0.7450155,0.25498447
0.96957314,1,1,1,3.8050376e-09,1.0
0.99979216,1,1,1,1.8690802e-11,1.0
0.99999905,1,1,1,0.00010916859,0.9998908
0.9694905,0,0,0,0.99999106,8.900667e-06
0.97951335,0,0,0,0.99999857,1.4476908e-06
1.0,1,1,1,0.058458332,0.9415417
1.0,1,1,1,2.7418912e-15,1.0
0.9999696,1,1,1,1.9572015e-09,1.0
0.37872127,1,0,0,0.9994142,0.00058582297
0.99869365,1,1,1,2.392607e-14,1.0
0.38947278,1,0,1,2.5406862e-06,0.9999975
1.0,1,1,0,0.82835954,0.17164049
0.99990535,0,0,0,0.99995947,4.0545827e-05
0.97943455,1,1,0,0.9090667,0.09093331
0.9894667,0,0,0,1.0,2.4631317e-12
0.71169335,1,1,1,0.0006732733,0.9993267
0.9998803,1,1,1,6.295478e-05,0.99993706
