rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1,class_probs_2
0.7585108,1,1,1,0.039848126,0.9570599,0.0030920135
0.92713255,1,1,1,0.11593144,0.8835818,0.0004868193
0.8504145,1,1,1,0.4693281,0.53065157,2.0324644e-05
0.9106031,1,1,1,0.10208836,0.89427346,0.0036381453
0.90221834,1,1,1,0.009966484,0.9892203,0.00081324833
0.9407204,1,1,1,0.023010202,0.9769553,3.4505065e-05
0.8316933,1,1,1,0.385937,0.6135885,0.00047443682
0.86581993,2,2,2,0.0013026951,0.15059394,0.84810334
0.8653518,1,1,1,0.11396044,0.8767683,0.009271202
0.98900723,1,0,1,0.0035423283,0.9964567,9.1871885e-07
0.9247022,1,1,1,0.03258352,0.96662897,0.000787512
0.7342595,1,1,1,0.010346425,0.9896478,5.781657e-06
0.86759806,2,2,2,0.00013390942,0.03392856,0.9659375
0.87528616,1,1,1,0.036164124,0.9635309,0.00030492083
0.94491047,1,1,1,0.06047534,0.92991555,0.009609112
0.88816553,1,1,1,0.11529635,0.48107374,0.40362993
0.89025223,2,2,2,0.00068330753,0.0040185875,0.9952981
0.95585287,1,1,1,0.0029626735,0.9963277,0.0007096458
0.92773473,1,1,1,0.15405321,0.8453222,0.0006246338
0.8796168,1,1,1,0.15999481,0.83999276,1.2471953e-05
0.8262099,1,1,1,0.05432175,0.9456744,3.8496196e-06
0.95521116,1,1,1,0.03724355,0.869373,0.0933834
0.92969835,1,1,1,0.23471601,0.76203114,0.003252827
0.8798344,1,1,1,0.02349504,0.9595954,0.016909555
0.9340987,1,1,1,0.025839213,0.9734465,0.00071427575
0.8929177,2,2,2,0.0132516185,0.05500936,0.931739
0.8294174,2,2,1,0.036117934,0.834685,0.12919699
0.8323835,2,2,1,0.0067291795,0.5739657,0.4193051
0.9491441,1,1,1,0.00879168,0.9911969,1.1473551e-05
0.9158371,2,2,2,0.34733376,0.020579938,0.6320862
0.8765615,1,1,1,2.6800748e-05,0.9999254,4.7827918e-05
0.96821666,2,2,2,0.021905443,0.0013318658,0.9767627
0.96861356,1,1,1,0.05806478,0.9248221,0.017113151
0.9643254,1,1,1,0.16870525,0.8310438,0.00025095465
0.95228976,1,1,1,0.000102136124,0.9994815,0.00041640925
0.82206637,2,1,2,0.01836828,0.03899606,0.94263566
0.9542687,1,0,1,0.0033659143,0.9964652,0.0001688927
0.91847694,1,1,1,0.14332813,0.856665,6.8601753e-06
0.9549116,1,1,1,0.010815501,0.9891394,4.515004e-05
0.48046824,1,2,1,0.082013585,0.9175928,0.0003935809
0.9455796,1,1,1,0.0016486084,0.99834085,1.05045265e-05
0.91311914,1,1,1,0.009542184,0.9895342,0.000923587
0.94613105,1,1,1,0.039794207,0.54788995,0.41231585
0.75127554,1,1,0,0.7929946,0.20623995,0.0007654454
0.9561283,1,1,1,0.03693504,0.89593214,0.06713286
0.95720327,1,1,1,0.012744229,0.98535615,0.0018995744
0.85580873,1,1,2,0.00446685,0.4142286,0.58130455
0.96219814,1,1,1,0.0031666555,0.973605,0.02322836
0.91490877,1,1,1,0.0133860335,0.96086586,0.025748104
0.91649467,1,1,1,0.0020323407,0.9979463,2.1286725e-05
0.9164966,1,1,1,0.0070867105,0.9911199,0.0017934039
0.95370823,1,1,1,0.00041843686,0.9991511,0.00043039332
0.96756625,1,1,1,0.00063783623,0.97357666,0.025785487
0.9147695,1,1,1,0.057674833,0.91767937,0.024645781
0.88755256,0,0,2,0.0025163859,0.32772255,0.66976106
0.8380824,1,1,1,0.15771616,0.83933294,0.0029509584
0.3841379,1,1,1,0.044561666,0.9542631,0.001175255
0.94941074,1,1,1,0.27560902,0.695895,0.028495967
