rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1
0.83609074,0,0,1,0.16466358,0.83533645
0.7039767,0,1,0,0.8787984,0.121201605
0.8547397,1,1,0,0.8840711,0.1159289
0.9186379,0,0,1,0.2864112,0.71358883
0.9308488,0,0,0,0.53781295,0.46218705
0.7404982,0,0,1,0.16093722,0.83906275
0.5615231,1,1,1,0.4482487,0.55175126
0.5942743,0,0,0,0.9647548,0.035245202
0.81696707,0,0,1,0.13230073,0.8676993
0.4988416,0,0,0,0.5504857,0.44951436
0.6896181,1,1,1,0.14267805,0.8573219
0.8492416,1,1,0,0.59609646,0.4039035
0.621794,0,1,0,0.90806615,0.09193388
0.9024199,1,1,0,0.5645165,0.43548355
0.8408679,1,1,0,0.77179265,0.22820736
0.93748486,1,0,1,0.25402346,0.74597657
0.79450846,0,0,0,0.9011453,0.09885475
0.7762102,0,0,0,0.7082311,0.29176894
0.7333251,1,1,1,0.38492554,0.61507446
0.8846962,1,1,0,0.8248511,0.1751489
0.8699129,1,1,1,0.45316002,0.54684
0.77010924,0,1,0,0.8962592,0.1037408
0.5407486,0,1,0,0.88254076,0.1174593
0.7644301,1,1,1,0.06982078,0.9301792
0.61825675,1,1,1,0.06972688,0.9302732
0.76242733,1,1,1,0.46353096,0.536469
0.6683408,1,0,1,0.36754748,0.63245255
0.8175064,0,0,0,0.5519527,0.44804734
0.7362083,0,1,1,0.21044405,0.78955597
0.73961496,1,1,1,0.105771996,0.894228
0.9084071,0,0,1,0.38131776,0.6186822
0.8158937,1,1,1,0.24463534,0.7553646
0.61292446,0,0,0,0.51206577,0.4879342
0.74396086,1,1,1,0.24743003,0.75257
0.82672995,1,1,1,0.10551044,0.8944895
0.8912772,0,0,0,0.51078004,0.48921993
0.793911,1,1,0,0.6586534,0.34134662
0.9423975,0,0,1,0.20020479,0.7997952
0.5559004,1,0,1,0.4266009,0.57339907
0.8104709,1,0,1,0.12005527,0.87994474
0.5991443,0,0,0,0.6939392,0.30606076
0.7264049,1,1,0,0.5867985,0.41320148
0.612594,0,0,0,0.50589126,0.4941087
0.83342826,0,0,1,0.30999532,0.69000465
0.7525682,0,0,0,0.8532691,0.14673093
0.5536006,1,1,1,0.13529745,0.8647025
0.6717071,1,1,0,0.82787716,0.1721228
0.54456216,0,1,1,0.26756227,0.73243773
0.48099977,1,0,1,0.074863546,0.92513645
0.8074502,1,1,0,0.6330594,0.36694056
0.6268004,1,0,1,0.3252442,0.6747559
0.87211764,0,0,0,0.61905825,0.38094178
0.77521694,0,0,0,0.9554735,0.044526584
0.86106163,0,0,0,0.72661287,0.27338713
0.850434,0,1,0,0.54979765,0.45020235
0.7890083,0,0,0,0.57704633,0.42295364
0.9142639,1,1,1,0.2672372,0.73276275
0.43737084,0,1,0,0.9655159,0.034484085
0.62062746,1,1,1,0.44110072,0.5588993
0.81729555,0,0,1,0.44004896,0.559951
0.65644616,0,1,1,0.4416478,0.5583522
0.94073004,0,1,1,0.3887511,0.6112489
0.72516096,1,0,1,0.12682694,0.8731731
0.8385661,0,0,0,0.62349844,0.3765015
0.8188771,1,0,0,0.53921294,0.46078703
0.5095352,1,1,1,0.24194275,0.7580573
0.8435186,0,0,1,0.3859603,0.61403966
0.7234979,0,0,0,0.8951309,0.10486913
0.71110165,0,0,0,0.73753524,0.26246476
0.72821593,0,0,0,0.7235517,0.27644834
0.81693673,0,0,1,0.24492608,0.75507396
0.5332706,1,1,0,0.77737343,0.22262657
0.66433275,1,1,0,0.5603358,0.43966424
0.4658132,1,1,1,0.1011983,0.8988017
0.4600333,0,0,0,0.5285486,0.4714514
0.6306163,1,1,1,0.11265295,0.88734704
0.66599685,0,0,0,0.9494277,0.050572243
0.68796235,0,0,1,0.28881776,0.71118224
0.8535889,0,0,1,0.10735396,0.892646
0.86230814,0,0,1,0.2595727,0.7404273
0.8293306,1,1,1,0.30907434,0.69092566
0.5565164,1,1,1,0.08590528,0.91409475
0.7135281,1,1,1,0.11553113,0.88446885
0.9220962,0,1,0,0.63233835,0.36766163
0.7718228,1,0,1,0.17821468,0.82178533
0.87032694,1,1,0,0.67410344,0.32589656
0.6853293,0,0,1,0.085459605,0.9145404
0.68918365,1,1,1,0.41139325,0.5886068
0.64656764,0,0,0,0.93125683,0.06874315
0.77282006,1,1,1,0.12384153,0.8761584
0.7388704,1,1,1,0.47955275,0.52044725
0.53086185,0,1,0,0.6613281,0.33867192
0.8645987,1,1,1,0.38753414,0.61246586
0.84278613,1,1,0,0.5467289,0.45327112
0.5079516,1,0,1,0.14606768,0.8539324
0.6763571,1,0,1,0.25175908,0.7482409
0.8715091,0,0,0,0.58199036,0.4180096
0.8295403,1,0,1,0.38334462,0.61665535
0.5730862,1,1,1,0.2981843,0.7018157
0.928533,0,0,0,0.74552923,0.2544707
0.8616214,0,1,1,0.4092134,0.59078664
